name, type, area, direction, fitment, elevator, total_price, unit_price, property
一楼带院子60平方 配套齐全 上下四层 户型方正, 5室2厅, 233.9, 南, 精装, 有, 370, 11506, 共有
全新毛胚    楼层好  满二年  通透三房, 5室2厅, 233.9, 南, 精装, 有, 249, 23376, 非共有
新上好房，双拼别墅花园150平，清水毛坯，南无遮挡！, 5室2厅, 233.9, 南, 精装,  , 349, 15389, 非共有
裕花园不靠高架边套三房 带独立走廊两梯四户 采光十足, 5室2厅, 233.9, 南, 精装, 有, 174, 19825, 共有
东原芊浔 纯毛坯户型方正采光好湿地公园天然氧吧, 5室2厅, 233.9, 南, 精装, 暂无数据, 198, 20699, 共有
中间位置总高10层电梯洋房，空中别墅，露苔100平米, 5室2厅, 233.9, 南, 精装, 有, 1100, 47029, 非共有
万达南精装三房带车库 满五唯一  阳光充足 视野开阔, 5室2厅, 233.9, 南, 精装, 有, 210, 18588, 共有
带露台，视野采光好，有车库，交通便利。, 5室2厅, 233.9, 南, 精装, 无, 192, 10053, 共有
富贵花园精装2房 带小车库 好楼层看房方便, 5室2厅, 233.9, 南, 精装, 无, 159, 18625, 共有
农房英伦尊邸 3室2厅 南, 5室2厅, 233.9, 南, 精装, 有, 169, 14955, 非共有
绿地滨江雅苑，高区楼层，居家精装3房，户型南北通透, 5室2厅, 233.9, 南, 精装, 有, 168, 19458, 共有
新上 苏苑新村南区 两房朝南 采光无遮挡 看房有钥匙, 5室2厅, 233.9, 南, 精装, 无, 125, 17909, 共有
中海星湖国际洋房 后排位置安静 客厅带阳台, 5室2厅, 233.9, 南, 精装, 有, 556, 59766, 非共有
复式大四房，得房率高，无遮挡，采光充足。, 5室2厅, 233.9, 南, 精装, 有, 285, 22406, 共有
诚意卖！奥体旁低密度洋房 楼层好 视野开阔 采光充足, 5室2厅, 233.9, 南, 精装, 有, 835, 60967, 共有
山景洋房，满五唯一，格局通透，低于市价20万在售！, 5室2厅, 233.9, 南, 精装, 有, 176, 16297, 共有
望亭别墅 精装修 房东在市区买房的  看中价格可谈, 5室2厅, 233.9, 南, 精装,  , 397, 12737, 共有
禹洲嘉誉山 3室2厅 南 北, 5室2厅, 233.9, 南, 精装, 暂无数据, 175, 19851, 非共有
花苑大复式 带南北双露台 户型好 单价低, 5室2厅, 233.9, 南, 精装, 无, 205, 10609, 共有
名墅花园 花样别野 精装四间套房 位置安静 诚心出售, 5室2厅, 233.9, 南, 精装, 无, 520, 23723, 非共有
惠阳一村一楼带大院子，精装修拎包入住, 5室2厅, 233.9, 南, 精装, 无, 158, 18810, 非共有
香樟园前排三房 高层视野好 采光好, 5室2厅, 233.9, 南, 精装, 有, 185, 20005, 共有
地铁口 人民医院旁边：小高层  满2年 业主诚心出售, 5室2厅, 233.9, 南, 精装, 暂无数据, 308, 24224, 非共有
园区南次新小区，精装修三房，户型方正，家具家电全留, 5室2厅, 233.9, 南, 精装, 有, 169.5, 18357, 共有
急售湖景房！博威大平层，四开间朝南，中Y空调加地暖, 5室2厅, 233.9, 南, 精装, 有, 580, 29043, 共有
园区南次新小区边户大三房 全天采光 位置好诚心出售, 5室2厅, 233.9, 南, 精装, 有, 169, 17350, 共有
嘉宝花园三期，满五年，精装修，面积大，户型好, 5室2厅, 233.9, 南, 精装, 无, 220, 26307, 共有
晶蓝上城，带40平花园，5房带装修, 5室2厅, 233.9, 南, 精装, 有, 157, 15579, 共有
城北新村 5楼 96.78平+自11平 3室, 5室2厅, 233.9, 南, 精装, 暂无数据, 105, 10850, 共有
满5年唯一 简单装修  双阳台 诚心急售, 5室2厅, 233.9, 南, 精装, 无, 108, 12634, 共有
城北商圈 精装4房 带大露台 采光可以, 4室2厅, 137.93, 南 北, 精装, 暂无数据, 165, 11963, 共有
地铁2号线 胥江府 中上楼层三房 急卖, 4室2厅, 137.93, 南 北, 精装, 有, 260, 29446, 共有
滨江汇 3室1厅 南, 4室2厅, 137.93, 南 北, 精装, 有, 188, 21496, 共有
梧桐园好楼层 边户南北嗵透 位置好 出门苏悦汇和學校, 4室2厅, 137.93, 南 北, 精装, 有, 208, 21486, 非共有
满五唯一，精装四房两卫，拎包入住，楼层视野好, 4室2厅, 137.93, 南 北, 精装, 有, 218, 15173, 共有
华润置地自持物业 精装30万复式住宅 南北通透 采光好, 4室2厅, 137.93, 南 北, 精装, 有, 266, 27845, 非共有
精装20多万自住小三房，诚心出售, 4室2厅, 137.93, 南 北, 精装, 有, 175, 20519, 非共有
S.1号线地铁口，双阳台大三房，绿化日常购物好，急售, 4室2厅, 137.93, 南 北, 精装, 有, 200, 19092, 非共有
精装钟央空调，边户采光好，看房有钥匙，, 4室2厅, 137.93, 南 北, 精装, 有, 460, 37653, 共有
叶圣陶书院，优质C户 ，采光好，位置好，有钥匙看房, 4室2厅, 137.93, 南 北, 精装, 有, 172, 19613, 共有
中房颐园精装带中 央空调好楼层, 4室2厅, 137.93, 南 北, 精装, 有, 269, 27585, 非共有
