comments,price,storeName,title
20万+,8899.00,Apple产品京东自营旗舰店,Apple iPhone 14 Pro  (A2892) 256GB 暗紫色 支持移动联通电信5G 双卡双待手机
50万+,9899.00,Apple产品京东自营旗舰店,Apple iPhone 14 Pro Max (A2896) 256GB 暗紫色 支持移动联通电信5G 双卡双待手机
5万+,4779.00,微焱数码旗舰店,Apple 苹果 iPhone 13 全网通5G手机 午夜黑 128G
500万+,3899.00,Apple产品京东自营旗舰店,Apple iPhone 11 (A2223) 128GB 白色 移动联通电信4G手机 双卡双待
500万+,4799.00,Apple产品京东自营旗舰店,Apple iPhone 13 (A2634) 128GB 粉色 支持移动联通电信5G 双卡双待手机
2万+,8399.00,中国联通京东自营旗舰店,Apple iPhone 14 Pro (A2892) 256GB 暗紫色 支持移动联通电信5G 双卡双待手机【大王卡】
5000+,1378.00,晨辉銮二手手机专营店,苹果xr 手机Apple iPhone Xr 二手苹果手机 黑色 64G全网通 9成新
2万+,9419.00,中国联通京东自营旗舰店,Apple iPhone 14 Pro Max (A2896) 256GB 暗紫色 支持移动联通电信5G 双卡双待手机【大王卡】
100万+,5399.00,Apple产品京东自营旗舰店,Apple iPhone 14 (A2884) 128GB 紫色 支持移动联通电信5G 双卡双待手机
20万+,6199.00,Apple产品京东自营旗舰店,Apple iPhone 14 Plus (A2888) 128GB 蓝色 支持移动联通电信5G 双卡双待手机
50万+,5188.00,中国联通京东自营旗舰店,Apple iPhone 13 (A2634) 128GB 午夜色 支持移动联通电信5G 双卡双待手机【大王卡】
20万+,4699.00,Apple产品京东自营旗舰店,Apple iPhone 13 mini (A2629) 128GB 星光色 手机 支持移动联通电信5G
5000+,5299.00,京东手机优选自营旗舰店,Apple iPhone 14 (A2884) 128GB 星光色 支持移动联通电信5G 双卡双待手机
2000+,4799.00,蜜茶手机旗舰店,Apple 苹果 iPhone 13 (A2634) 5G手机 国行正品 星光色 128G 标准套装
100万+,9899.00,Apple产品京东自营旗舰店,Apple iPhone 13 Pro Max (A2644) 256GB 苍岭绿色 支持移动联通电信5G 双卡双待手机
